## RECSRecommendations Upload File																											
"## RECS""## RECS"" indicates a Recommendations pre-process header.
        Please do not remove these lines."																											
## RECS																											
## RECSUse this file to upload product display information to Recommendations.Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.																											
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name "customN" can be replaced with a custom name such as "onSale" or "brand"																											
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the products entry in Recommendations.																											

## RECSentity.id,entity.name,entity.categoryId,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.condition,entity.brand,entity.UPC,entity.shipping_weight,entity.magento_product_id,entity.product_type,entity.model_number,entity.sub_brand_name,entity.meta_keyword,entity.item_attributes_color,entity.Is_Ecommerce_Visible,entity.Is_Over_Length,entity.Is_Expedited_Eligible,entity.Is_Central_Stocked,entity.Is_Sell_In_StoreOnly,entity.Is_Published,entity.regular_price,entity.tag,Entity.lastUpdated
762911,ZINC PISTOL NOZZLE,"MTA0Mzc=, MTMwMTc=, MTMzNDE=",https://doitbest.scene7.com/is/image/doitbeststage/item_762911,6.79,https://stag-www.doitbest.com/product/762911/zinc-pistol-nozzle-762911/,0,,new,do-it-best,9326720340,0.53 lb,441295,Hose Nozzles & Wands,DIB573TF,,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,6.79,,07-12-2023 00:00
418698,Sterling Middleton Single Bowl 25 In. x 22 In. x 6 In. Deep Stainless Steel Drop-In Kitchen Sink,"MTY4NTE=, MTY5Nzc=, MTg1MDI=",https://doitbest.scene7.com/is/image/doitbeststage/item_418698,109.99,https://stag-www.doitbest.com/product/418698/sterling-middleton-single-bowl-25-in-x-22-in-x-6-in-deep-stainless-steel-drop-in-kitchen-sink-418698/,0,,new,sterling,6.50532E+11,12.00 lb,460240,Kitchen & Bar Sinks,14631-4-NA,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,109.99,,19-01-2024 00:00
